timestamp,label,shoulder_pitch,shoulder_roll,shoulder_gyro,upper_arm_pitch,upper_arm_roll,upper_arm_gyro,forearm_pitch,forearm_roll,forearm_gyro,fused_angle
1775129647.2718,too_deep,-49.423,-154.392,140.959,-67.623,4.026,20.142,78.126,175.864,62.674,114.62
1775129648.9256,too_deep,-49.844,-153.085,140.829,-67.414,0.983,20.868,76.05,176.269,61.637,114.07
1775129650.5016,too_deep,-48.798,-154.959,141.173,-65.961,1.581,19.722,75.502,-175.624,62.399,114.99
1775129652.074,too_deep,-49.912,-155.221,141.84,-66.843,1.224,19.762,76.993,-172.052,62.92,115.12
1775129653.6393,too_deep,-51.23,-153.37,142.488,-69.752,-1.243,19.576,75.193,-169.53,62.784,114.51
1775129665.6949,too_deep,-52.133,163.84,156.03,-69.833,-29.027,25.222,72.26,-159.841,61.501,114.73
1775129667.2606,too_deep,-45.567,-150.405,157.414,-64.942,-4.391,23.974,76.5,174.096,61.268,112.32
1775129668.8287,too_deep,-45.57,-151.794,157.501,-65.098,0.0,24.455,77.19,177.609,61.1,112.73
1775129670.4883,too_deep,-45.902,-149.987,157.116,-64.751,-5.464,25.863,76.339,167.04,61.534,112.94
1775129672.0641,too_deep,-46.402,-151.203,157.005,-62.779,-4.731,26.151,77.329,160.935,62.198,114.26
1775129673.6402,too_deep,-48.153,-152.707,143.494,-65.684,-3.9,20.183,76.902,165.089,62.311,115.47
1775129675.2045,too_deep,-48.845,-150.307,142.302,-64.837,-1.51,20.774,77.613,170.549,61.969,117.39
1775129676.8652,too_deep,-46.142,-151.834,142.301,-64.896,-0.176,22.35,76.731,156.744,61.816,119.07
1775129678.4325,too_deep,-45.062,-150.853,142.633,-63.102,7.109,21.646,73.848,159.994,61.435,119.16
1775129679.9982,too_deep,-45.302,-151.15,142.751,-61.435,2.472,21.511,72.488,152.882,62.091,119.66
1775129681.5647,too_deep,-45.476,-151.339,142.772,-61.821,5.3,21.59,71.873,149.787,62.727,119.58
1775129683.2042,too_deep,-44.171,-150.806,143.163,-61.022,5.687,22.949,73.217,163.31,62.828,118.89
1775129684.7768,too_deep,-46.36,-153.744,144.332,-61.444,2.404,21.274,75.802,161.404,63.123,119.17
1775129686.3592,too_deep,-47.995,-151.586,143.566,-63.338,1.125,20.753,73.23,144.615,63.2,117.2
1775129687.9395,too_deep,-45.793,-152.308,142.712,-64.414,5.808,21.664,74.072,143.833,61.685,116.65
1775129689.5893,too_deep,-46.828,-149.4,142.189,-63.785,7.759,23.263,70.452,154.845,60.691,117.69
1775129691.1624,too_deep,-43.71,-151.667,140.901,-62.498,-0.094,21.806,75.613,152.447,62.04,119.15
1775129692.7303,too_deep,-44.615,-152.91,139.402,-62.392,9.026,21.922,72.09,148.619,62.224,119.48
1775129694.2996,too_deep,-44.307,-152.916,139.813,-64.236,10.505,22.116,73.778,145.0,62.8,123.12
1775129702.0263,too_deep,-73.182,168.727,148.032,-85.93,-126.915,35.829,78.289,-164.811,65.616,121.16
1775129703.595,too_deep,-43.217,-153.159,149.704,-63.948,-1.22,34.396,73.321,173.983,65.364,122.73
1775129705.1715,too_deep,-43.534,-154.735,150.644,-58.598,-1.726,33.888,72.507,158.622,65.562,119.51
1775129706.7384,too_deep,-42.211,-154.022,151.31,-59.731,7.508,33.16,66.732,157.086,64.897,123.39
1775129708.3676,too_deep,-44.192,-150.608,151.115,-58.699,4.656,33.89,67.886,152.032,65.932,123.61
1775129709.9348,too_deep,-43.144,-151.746,143.347,-60.69,-2.595,20.942,78.383,171.206,63.921,122.67
1775129711.5029,too_deep,-47.299,-157.279,143.658,-57.707,2.126,24.2,71.162,165.626,64.712,122.02
1775129713.07,too_deep,-43.778,-153.658,143.541,-57.146,2.679,24.422,69.267,155.778,64.12,118.84
1775129714.7247,too_deep,-42.887,-154.138,142.34,-59.146,-1.166,25.768,69.098,147.957,64.182,121.93
1775129716.2918,too_deep,-41.447,-154.808,142.977,-63.328,5.18,26.002,74.788,152.732,61.935,125.54
1775129717.8668,too_deep,-43.655,-154.628,142.663,-64.08,2.05,24.567,74.663,149.356,61.388,126.55
1775129719.4324,too_deep,-43.668,-155.552,140.579,-63.711,5.247,21.9,75.145,143.186,61.086,128.55
1775129721.0672,too_deep,-42.803,-156.375,142.658,-60.946,5.293,22.895,74.002,150.268,60.092,128.64
1775129722.6445,too_deep,-45.661,-159.376,143.622,-66.266,2.562,22.371,77.38,144.478,61.521,130.15
1775129724.2125,too_deep,-46.338,-154.903,143.401,-63.397,12.557,22.293,74.71,153.863,62.447,132.32
1775129725.7814,too_deep,-41.861,-156.856,144.323,-61.153,0.519,23.434,73.783,141.82,63.727,130.99
1775129727.4381,too_deep,-45.937,-156.891,142.958,-66.427,9.571,24.094,75.172,128.271,63.64,128.84
1775129729.0051,too_deep,-42.768,-156.566,141.295,-60.858,16.321,23.327,72.839,142.446,64.581,127.48
